word	stem	suffix	expected_phones	actual_phones	class	altered_phone	subfamily
mouthful	mouth	ful	m AW TH f AH l	m AW TH f UH l	mutation	UH	
mouthing	mouth	ing	m AW TH IH NG	m AW DH IH NG	mutation	DH	
mutually	mutual	ly	m j UW CH UW AH l l IY	m j UW CH UW AH l IY	elision	l	degemination
nationally	national	ly	n AE SH AH n AH l l IY	n AE SH AH n AH l IY	elision	l	degemination
naturally	natural	ly	n AE CH ER AH l l IY	n AE CH ER AH l IY	elision	l	degemination
neglecting	neglect	ing	n AH g l EH k t IH NG	n IH g l EH k t IH NG	mutation	IH	
negotiating	negotiate	ing	n AH g OW SH IY EY t IH NG	n IH g OW SH IY EY t IH NG	mutation	IH	
nestling	nestle	ing	n EH s AH l IH NG	n EH s t l IH NG	mutation	t	
nobler	noble	er	n OW b AH l ER	n OW b l ER	elision	AH	
nominally	nominal	ly	n AA m AH n AH l l IY	n AA m AH n AH l IY	elision	l	degemination
normally	normal	ly	n AO r m AH l l IY	n AO r m AH l IY	elision	l	degemination
noticing	notice	ing	n OW t AH s IH NG	n OW t IH s IH NG	mutation	IH	
number	numb	er	n AH m ER	n AH m b ER	insertion	b	
objecting	object	ing	AA b JH EH k t IH NG	AH b JH EH k t IH NG	mutation	AH	
objectively	objective	ly	AH b JH EH k t IH v l IY	AA b JH EH k t IH v l IY	mutation	AA	
occasionally	occasional	ly	AH k EY ZH AH n AH l l IY	AH k EY ZH AH n AH l IY	elision	l	degemination
officer	office	er	AO f IH s ER	AO f AH s ER	mutation	AH	
officially	official	ly	AH f IH SH AH l l IY	AH f IH SH AH l IY	elision	l	degemination
orally	oral	ly	AO r AH l l IY	AO r AH l IY	elision	l	degemination
originally	original	ly	ER IH JH AH n AH l l IY	ER IH JH AH n AH l IY	elision	l	degemination
overpowering	overpower	ing	OW v ER p AW ER IH NG	OW v ER p AW r IH NG	mutation	r	
packaging	package	ing	p AE k AH JH IH NG	p AE k IH JH IH NG	mutation	IH	
painfully	painful	ly	p EY n f AH l l IY	p EY n f AH l IY	elision	l	degemination
parsing	pars	ing	p AA r z IH NG	p AA r s IH NG	mutation	s	voicing-sz
partially	partial	ly	p AA r SH AH l l IY	p AA r SH AH l IY	elision	l	degemination
pasting	past	ing	p AE s t IH NG	p EY s t IH NG	mutation	EY	
peacefully	peaceful	ly	p IY s f AH l l IY	p IY s f AH l IY	elision	l	degemination
peculiarly	peculiar	ly	p AH k j UW l j ER l IY	p IH k j UW l j ER l IY	mutation	IH	
peering	peer	ing	p IH r IH NG	p IY r IH NG	mutation	IY	
peerless	peer	less	p IH r l AH s	p IH r l IH s	mutation	IH	
perennially	perennial	ly	p ER EH n IY AH l l IY	p ER EH n IY AH l IY	elision	l	degemination
perfectly	perfect	ly	p ER f EH k t l IY	p ER f AH k t l IY	mutation	AH	
perpetually	perpetual	ly	p ER p EH CH UW AH l l IY	p ER p EH CH UW AH l IY	elision	l	degemination
physically	physical	ly	f IH z IH k AH l l IY	f IH z IH k AH l IY	elision	l	degemination
